time;acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z
0.210000;-5.473466;2.694490;7.817558;0.039507;-0.045854;-0.013170
0.212500;-5.473478;2.690716;7.824891;0.023205;-0.047884;-0.022968
0.215000;-5.471717;2.683567;7.811983;0.023397;-0.037316;-0.032672
0.217500;-5.464441;2.672430;7.817591;0.014943;-0.046860;-0.022930
0.220000;-5.464383;2.679702;7.821337;0.037586;-0.072966;-0.024368
0.222500;-5.464319;2.690802;7.814069;0.031836;-0.056018;-0.044904
0.225000;-5.460680;2.687162;7.810444;0.028572;-0.059258;-0.036201
0.227500;-5.471740;2.683761;7.799095;0.021175;-0.051014;-0.025176
0.230000;-5.468088;2.680010;7.802836;0.014835;-0.033333;-0.015146
0.232500;-5.464333;2.692855;7.799355;0.028534;-0.025816;-0.030383
0.235000;-5.464391;2.685584;7.795609;0.023168;-0.029083;-0.019490
0.237500;-5.453382;2.683601;7.799545;0.027612;-0.038304;-0.038153
0.240000;-5.466377;2.661650;7.804561;0.020732;-0.041828;-0.002154
0.242500;-5.453445;2.668616;7.821511;0.020941;-0.027068;-0.011821
0.245000;-5.460808;2.668845;7.810284;0.020847;-0.050136;-0.008795
0.247500;-5.447912;2.672231;7.821678;0.015205;-0.057174;-0.038322
0.250000;-5.446050;2.675878;7.821755;0.034887;-0.038237;-0.042536
0.252500;-5.449712;2.677770;7.819840;0.021434;-0.030986;-0.038057
0.255000;-5.446034;2.675740;7.830961;0.025460;-0.072862;-0.037430
0.257500;-5.445889;2.697803;7.825630;0.025342;-0.023784;-0.024903
0.260000;-5.453401;2.677940;7.810544;0.031402;-0.047883;-0.021898
0.262500;-5.453368;2.679606;7.821607;0.006526;-0.033386;-0.011854
0.265000;-5.444177;2.687184;7.799802;0.005938;-0.042570;-0.035962
0.267500;-5.457118;2.672532;7.806724;0.004976;-0.042521;-0.040316
0.270000;-5.444199;2.679609;7.816309;0.004494;-0.027102;-0.012873
0.272500;-5.446039;2.683537;7.799725;0.019191;-0.047839;-0.029506
0.275000;-5.453433;2.672389;7.814179;0.016936;-0.047940;-0.019675
0.277500;-5.449684;2.683348;7.814365;0.010532;-0.030306;-0.005286
0.280000;-5.457147;2.668896;7.804851;0.017013;-0.049990;-0.024060
0.282500;-5.464519;2.665325;7.802797;0.027126;-0.050065;-0.014265
0.285000;-5.466336;2.669059;7.799102;0.010566;-0.041787;-0.008675
0.287500;-5.460834;2.663240;7.817601;-0.004192;-0.037249;-0.045686
0.290000;-5.447982;2.659243;7.832613;0.001030;-0.060200;-0.052498
0.292500;-5.451661;2.661273;7.821492;-0.001483;-0.054186;-0.027328
0.295000;-5.464500;2.667101;7.806496;-0.020609;-0.035739;0.006751
0.297500;-5.468184;2.663359;7.813738;0.023265;-0.040513;-0.027244
0.300000;-5.458953;2.668664;7.821376;0.031398;-0.043691;-0.021848
0.302500;-5.473682;2.665266;7.811778;0.042979;-0.040385;-0.034934
0.305000;-5.468110;2.676319;7.804645;0.043608;-0.043753;-0.013153
0.307500;-5.460777;2.676338;7.799301;0.025362;-0.025857;-0.027096
0.310000;-5.458976;2.668857;7.808488;0.028251;-0.042689;-0.018555
0.312500;-5.464371;2.687360;7.799307;0.006065;-0.032039;-0.041300
0.315000;-5.451494;2.687027;7.814352;0.014679;-0.029238;-0.006378
0.317500;-5.457002;2.690959;7.799519;0.027418;-0.038417;-0.027244
0.320000;-5.464374;2.683503;7.812163;0.044178;-0.022520;-0.041299
0.322500;-5.453255;2.694176;7.827259;0.031630;-0.031027;-0.031543
0.325000;-5.451496;2.683170;7.827208;0.024275;-0.043100;-0.080753
0.327500;-5.457107;2.668565;7.826945;0.023405;-0.055079;-0.036136
0.330000;-5.460743;2.674119;7.825062;0.026655;-0.036159;-0.042488
0.332500;-5.460753;2.674202;7.819538;0.041602;-0.043722;-0.016422
0.335000;-5.468122;2.668661;7.826675;-0.001459;-0.035347;-0.026032
0.337500;-5.458914;2.672216;7.828773;0.014892;-0.025966;-0.018340
0.340000;-5.464479;2.664993;7.824891;0.013628;-0.040738;-0.007581
0.342500;-5.460789;2.668680;7.821331;0.033397;-0.043719;-0.018580
0.345000;-5.460805;2.668818;7.812125;0.031298;-0.031197;-0.015165
0.347500;-5.460908;2.654164;7.811997;0.026097;-0.027044;-0.012919
0.350000;-5.453604;2.650547;7.804780;0.028622;-0.025735;-0.038008
0.352500;-5.457131;2.672643;7.799359;0.035946;-0.047637;-0.044819
0.355000;-5.453497;2.661289;7.821447;0.031659;-0.051908;-0.037213
0.357500;-5.457001;2.683191;7.828914;0.015397;-0.048705;-0.046962
0.360000;-5.457055;2.672007;7.841706;0.021193;-0.037385;-0.026120
0.362500;-5.447889;2.673980;7.827218;0.019106;-0.041595;-0.025070
0.365000;-5.449767;2.668528;7.825283;0.034567;-0.055144;-0.027439
0.367500;-5.449728;2.672081;7.832680;0.019337;-0.048785;-0.038242
0.370000;-5.456994;2.683135;7.832596;0.032989;-0.046521;-0.051351
0.372500;-5.457046;2.679693;7.817835;0.023291;-0.033187;-0.027173
0.375000;-5.453355;2.683380;7.814275;0.017377;-0.035151;-0.041365
0.377500;-5.464300;2.694521;7.810418;0.022409;-0.043581;-0.034925
0.380000;-5.458772;2.694307;7.821600;0.047814;-0.049978;-0.017605
0.382500;-5.464361;2.685335;7.812179;0.035432;-0.047927;-0.016454
0.385000;-5.460744;2.676062;7.817713;0.019308;-0.035211;-0.034820
0.387500;-5.468145;2.668854;7.813786;0.018029;-0.035348;-0.021720
0.390000;-5.464438;2.672403;7.819432;0.042970;-0.036209;-0.033802
0.392500;-5.460808;2.668845;7.810284;0.042328;-0.045410;-0.055722
0.395000;-5.464515;2.661412;7.819336;0.034789;-0.042465;-0.038208
0.397500;-5.453510;2.661399;7.814082;0.032979;-0.024552;-0.050014
0.400000;-5.451616;2.666713;7.825222;0.015259;-0.033081;-0.039150
0.402500;-5.453474;2.661095;7.834335;0.021335;-0.054036;-0.036118
0.405000;-5.471965;2.650735;7.802489;0.033818;-0.039294;-0.041439
0.407500;-5.457144;2.670811;7.799343;0.046288;-0.044448;-0.046994
0.410000;-5.457111;2.672477;7.810406;0.048360;-0.024560;-0.045694
0.412500;-5.467981;2.690751;7.819502;0.012098;-0.048837;-0.034952
0.415000;-5.464470;2.668794;7.815718;0.031813;-0.041370;-0.043647
0.417500;-5.457239;2.650276;7.824943;0.013302;-0.046615;-0.046922
0.420000;-5.448028;2.657688;7.814185;0.035892;-0.028824;-0.041339
0.422500;-5.453451;2.662844;7.839875;0.023573;-0.045563;-0.044762
0.425000;-5.459059;2.654038;7.819407;0.014829;-0.014485;-0.014935
0.427500;-5.449812;2.663089;7.821553;0.018272;-0.026839;-0.034724
0.430000;-5.457232;2.650220;7.828626;-0.002333;-0.036296;-0.035857
0.432500;-5.446152;2.655398;7.843673;0.017131;-0.049902;-0.031696
0.435000;-5.446247;2.650373;7.812325;0.020328;-0.032059;-0.035874
0.437500;-5.438868;2.653889;7.818061;0.033972;-0.025610;-0.048938
0.440000;-5.449909;2.648380;7.825107;0.023230;-0.033196;-0.026072
0.442500;-5.449864;2.657704;7.814140;0.025747;-0.047591;-0.051335
0.445000;-5.453567;2.650244;7.825033;0.004479;-0.041730;-0.015202
0.447500;-5.451757;2.646564;7.825046;0.008666;-0.059461;-0.020861
0.450000;-5.457130;2.668758;7.814056;0.031504;-0.028991;-0.026054
0.452500;-5.460789;2.670622;7.813982;0.006968;-0.058240;-0.038308
0.455000;-5.471862;2.661504;7.817315;0.018074;-0.040546;-0.025047
0.457500;-5.477343;2.665215;7.817212;0.008761;-0.046872;-0.022908
0.460000;-5.475617;2.650601;7.813446;0.013030;-0.031079;-0.030382
0.462500;-5.468222;2.657864;7.813690;0.019243;-0.051971;-0.033902
0.465000;-5.471926;2.654288;7.809886;0.002916;-0.020547;-0.038972
0.467500;-5.468122;2.668661;7.826675;0.016740;-0.030260;-0.007476
0.470000;-5.460802;2.668790;7.813966;0.030314;-0.040588;-0.018538
0.472500;-5.473672;2.665183;7.817302;0.025398;-0.047789;-0.031693
0.475000;-5.482723;2.687465;7.802540;0.009892;-0.028006;-0.024895
0.477500;-5.488301;2.678410;7.798642;0.008912;-0.042619;-0.029411
0.480000;-5.482774;2.678196;7.809824;0.011401;-0.039234;-0.052297
0.482500;-5.468108;2.680176;7.791789;0.006293;-0.038185;-0.054458
0.485000;-5.466291;2.674499;7.802832;-0.007438;-0.043632;-0.037019
0.487500;-5.466186;2.683326;7.825007;0.013491;-0.056993;-0.055775
0.490000;-5.471745;2.676047;7.824808;0.012200;-0.038308;-0.040288
0.492500;-5.457124;2.668703;7.817739;0.023248;-0.052031;-0.027373
0.495000;-5.449747;2.668363;7.836330;0.071606;-0.050885;-0.025311
0.497500;-5.457130;2.668758;7.814056;0.004903;-0.034189;-0.035859
0.500000;-5.453433;2.672389;7.814179;0.036617;-0.040507;-0.025104
0.502500;-5.446225;2.657948;7.795819;0.004992;-0.020541;-0.040074
0.505000;-5.464545;2.661661;7.802765;0.006715;-0.045826;-0.023983
0.507500;-5.457162;2.663208;7.817691;0.004814;-0.034233;-0.031493
0.510000;-5.453426;2.674276;7.810512;0.025538;-0.026801;-0.036929
0.512500;-5.451687;2.661494;7.806763;0.009947;-0.055152;-0.032825
0.515000;-5.460715;2.683582;7.804889;0.013967;-0.046845;-0.025114
0.517500;-5.458908;2.676046;7.817758;0.006608;-0.032293;-0.016205
0.520000;-5.456962;2.688686;7.828962;0.009799;-0.053155;-0.022992
0.522500;-5.464415;2.676094;7.817623;0.007152;-0.024669;-0.044493
0.525000;-5.460699;2.683444;7.814095;0.043881;-0.028960;-0.026092
0.527500;-5.460727;2.675923;7.826919;0.018972;-0.028072;-0.016192
0.530000;-5.451629;2.668765;7.810509;0.019039;-0.018622;-0.019362
0.532500;-5.449800;2.666862;7.814220;0.040653;-0.023803;-0.019477
0.535000;-5.457156;2.665095;7.814024;0.034091;-0.047041;-0.001159
0.537500;-5.453458;2.668726;7.814146;0.017924;-0.045866;-0.017472
0.540000;-5.446038;2.677710;7.821771;0.013227;-0.047724;-0.041490
0.542500;-5.453507;2.661372;7.815924;0.010533;-0.064807;-0.010016
0.545000;-5.442511;2.657557;7.819844;0.013873;-0.055242;-0.023017
0.547500;-5.457249;2.650358;7.819420;0.018890;-0.059481;-0.016524
0.550000;-5.457233;2.654105;7.813928;0.000748;-0.033163;-0.034741
0.552500;-5.453503;2.657460;7.832462;0.006011;-0.063417;-0.043815
0.555000;-5.457182;2.661431;7.813992;0.021312;-0.033135;-0.032616
0.557500;-5.466348;2.663343;7.813783;0.019168;-0.050970;-0.029529
0.560000;-5.468071;2.679872;7.812041;0.000456;-0.058447;-0.019744
0.562500;-5.457046;2.679693;7.817835;0.015325;-0.041424;-0.042517
0.565000;-5.459069;2.652178;7.821232;0.004861;-0.035244;-0.034774
0.567500;-5.457207;2.657768;7.813960;0.018018;-0.056266;-0.024127
0.570000;-5.457185;2.661459;7.812151;0.021445;-0.051890;-0.041549
0.572500;-5.453497;2.665173;7.806750;0.015277;-0.060272;-0.042716
0.575000;-5.447945;2.670565;7.810615;0.012969;-0.052049;-0.028439
0.577500;-5.453523;2.661510;7.806718;0.009807;-0.041632;-0.023948
0.580000;-5.449787;2.668694;7.814236;0.004956;-0.037298;-0.039168
0.582500;-5.453497;2.665173;7.806750;0.010964;-0.079217;-0.034181
0.585000;-5.457079;2.676085;7.814121;0.019066;-0.058358;-0.024159
0.587500;-5.451512;2.679424;7.832699;0.025498;-0.040417;-0.035988
0.590000;-5.457149;2.661155;7.832404;0.029341;-0.060421;-0.024205
0.592500;-5.460814;2.665016;7.821299;0.006522;-0.052205;-0.014234
0.595000;-5.457110;2.668592;7.825103;0.023206;-0.039500;-0.023964
0.597500;-5.464435;2.674317;7.813925;0.027011;-0.026074;-0.005279
0.600000;-5.468142;2.668826;7.815628;0.004413;-0.050151;-0.010932
0.602500;-5.464364;2.683420;7.817687;0.001640;-0.040579;-0.026103
0.605000;-5.475392;2.683627;7.810052;-0.001140;-0.028911;-0.041243
0.607500;-5.473639;2.668792;7.821016;0.023776;-0.031863;-0.053341
0.610000;-5.466277;2.672446;7.817546;0.083265;-0.043359;-0.041626
0.612500;-5.479198;2.661513;7.820817;0.036071;-0.041275;-0.051290
0.615000;-5.477357;2.665326;7.809847;0.029629;-0.043535;-0.037113
0.617500;-5.468226;2.657892;7.811849;0.019125;-0.048898;-0.027322
0.620000;-5.468119;2.672517;7.813818;0.007313;-0.062233;-0.056901
0.622500;-5.473537;2.687329;7.806447;0.025524;-0.037278;-0.035952
0.625000;-5.481003;2.669021;7.809789;0.014972;-0.043706;-0.023982
0.627500;-5.477225;2.683615;7.811848;0.009539;-0.052254;-0.008789
0.630000;-5.468084;2.676098;7.819374;0.014780;-0.037539;-0.013008
0.632500;-5.479141;2.672669;7.809866;0.001321;-0.032382;-0.008548
0.635000;-5.453500;2.661317;7.819606;0.010747;-0.045859;-0.019632
0.637500;-5.457085;2.674198;7.817787;0.004234;-0.003661;-0.051897
0.640000;-5.438749;2.668405;7.827395;-0.001134;-0.053995;-0.045882
0.642500;-5.438803;2.661106;7.825489;0.015577;-0.068464;-0.060267
0.645000;-5.442436;2.664690;7.832796;0.013223;-0.064449;-0.043850
0.647500;-5.429621;2.662940;7.820207;0.023028;-0.076207;-0.018909
0.650000;-5.435158;2.657410;7.825547;0.004518;-0.043806;-0.017413
0.652500;-5.427717;2.668171;7.836871;0.013391;-0.047622;-0.051311
0.655000;-5.424084;2.664586;7.829564;0.011759;-0.063648;-0.020926
0.657500;-5.442436;2.666633;7.825448;0.031428;-0.057270;-0.025272
0.660000;-5.449818;2.661202;7.825219;0.011667;-0.049054;-0.014214
0.662500;-5.449676;2.679408;7.832744;0.025839;-0.055918;-0.055798
0.665000;-5.448041;2.653914;7.821518;0.008754;-0.073017;-0.026467
0.667500;-5.442474;2.657253;7.840097;0.073051;-0.061102;-0.049429
0.670000;-5.451663;2.655474;7.841697;0.010668;-0.062627;-0.017630
0.672500;-5.449856;2.649880;7.847217;0.011170;-0.050930;0.066517
0.675000;-5.431459;2.655215;7.847715;0.019198;-0.054076;-0.032841
0.677500;-5.431494;2.647750;7.856857;0.018985;-0.040588;-0.020689
0.680000;-5.442532;2.648040;7.843699;0.017233;-0.043565;-0.037082
0.682500;-5.444474;2.631488;7.849033;0.014509;-0.056953;-0.059037
0.685000;-5.438898;2.638628;7.858438;-0.007994;-0.048082;-0.010873
