time;acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z
0.708333;-5.743680;2.677390;7.498977;-0.004074;-0.002816;0.018042
0.716667;-5.748977;2.686617;7.510092;0.011727;-0.024173;-0.014566
0.725000;-5.747121;2.694024;7.513709;0.004437;-0.024018;0.017920
0.733333;-5.754530;2.699688;7.502902;-0.024428;0.010909;0.009660
0.741667;-5.752910;2.690492;7.488214;0.003500;-0.022869;0.038458
0.750000;-5.741771;2.682913;7.506255;-0.009409;-0.015519;0.024575
0.758333;-5.745238;2.675408;7.517325;0.001337;-0.008046;0.029850
0.766667;-5.749089;2.697820;7.502771;-0.000922;-0.050524;0.024448
0.775000;-5.747345;2.690420;7.497235;-0.002917;-0.008039;0.034224
0.783333;-5.759823;2.705198;7.514017;-0.013785;-0.009242;0.007356
0.791667;-5.760029;2.709017;7.499373;-0.003106;-0.014546;0.006144
0.800000;-5.754481;2.701522;7.506563;0.003391;0.002481;0.013635
0.808333;-5.756248;2.705217;7.510268;-0.020134;0.002457;0.015000
0.816667;-5.738007;2.695842;7.517151;0.002296;0.000348;0.010400
0.825000;-5.743646;2.694093;7.502639;0.014089;-0.014455;0.018890
0.833333;-5.745499;2.682969;7.499021;0.016267;0.000405;0.019957
0.841667;-5.752490;2.675421;7.517500;0.011862;-0.014528;0.003800
0.850000;-5.745405;2.690354;7.506343;-0.012700;0.015133;0.001958
0.858333;-5.745510;2.694122;7.499022;-0.008378;-0.007076;0.015930
0.866667;-5.752852;2.683032;7.491875;0.000198;-0.024008;0.023378
0.875000;-5.760057;2.686737;7.495711;-0.011444;-0.029220;0.045117
0.883333;-5.750959;2.679274;7.497322;-0.008274;-0.014413;0.034287
0.891667;-5.741981;2.690448;7.491612;0.004440;-0.030384;0.020078
0.900000;-5.749039;2.697795;7.506432;0.003446;-0.003831;0.024428
0.908333;-5.745465;2.699673;7.502683;0.002420;-0.015451;0.035231
0.916667;-5.738056;2.694008;7.513490;-0.020184;0.001361;0.007435
0.925000;-5.734562;2.675490;7.502419;0.001209;0.002439;0.006098
0.933333;-5.749198;2.705306;7.495450;0.000228;-0.011262;0.025543
0.941667;-5.749147;2.705280;7.499110;0.011909;0.000340;0.008129
0.950000;-5.745253;2.690278;7.517326;-0.007316;-0.017665;0.018067
0.958333;-5.741806;2.692219;7.504426;-0.005205;-0.008157;0.010489
0.966667;-5.752838;2.670021;7.491874;0.013947;-0.054842;0.006991
0.975000;-5.756357;2.664400;7.499283;-0.000877;-0.001769;0.014769
0.983333;-5.765449;2.690438;7.499503;0.005547;-0.019760;0.022238
0.991667;-5.757930;2.701440;7.519464;0.004374;-0.021948;0.007125
1.000000;-5.752517;2.701443;7.517502;0.004484;-0.030334;0.027635
1.008333;-5.752711;2.694109;7.502858;-0.007374;-0.010306;0.006198
1.016667;-5.759971;2.701556;7.503034;-0.009487;-0.013465;0.011622
1.025000;-5.741728;2.690322;7.509917;-0.009491;-0.018759;0.012693
1.033333;-5.745397;2.682919;7.506343;0.009819;-0.008099;0.017868
1.041667;-5.737960;2.675383;7.518980;-0.007276;-0.022931;0.025622
1.050000;-5.741583;2.671672;7.519068;0.005575;-0.004894;0.022240
1.058333;-5.727262;2.677311;7.505905;-0.056500;-0.012423;0.019746
1.066667;-5.752805;2.686724;7.495536;-0.016968;-0.015595;0.012792
1.075000;-5.761627;2.671757;7.512228;-0.017030;-0.026236;0.005228
1.083333;-5.763662;2.690448;7.497629;0.001273;0.003544;0.015827
1.091667;-5.738153;2.690341;7.506168;-0.001876;-0.011232;0.030965
1.100000;-5.734317;2.682799;7.520724;0.017154;-0.041043;0.003710
1.108333;-5.730642;2.684627;7.524297;-0.009475;-0.016618;0.014849
1.116667;-5.745473;2.682957;7.500852;-0.005154;-0.000705;0.015896
1.125000;-5.763488;2.694077;7.510442;0.000232;0.005693;0.020158
1.133333;-5.749031;2.690360;7.506431;-0.002930;0.002548;0.028831
1.141667;-5.741767;2.679195;7.506255;0.007636;-0.020850;0.014645
1.150000;-5.756304;2.686668;7.504776;-0.009440;-0.004954;0.015948
1.158333;-5.746979;2.679091;7.522860;-0.026538;0.000344;0.017235
1.166667;-5.747218;2.690357;7.506387;-0.011623;-0.012404;0.011646
1.175000;-5.747319;2.690407;7.499066;0.003499;-0.022863;0.038455
1.183333;-5.748849;2.660544;7.517411;0.003408;0.005668;0.013638
1.191667;-5.745244;2.680984;7.517325;-0.002917;-0.001674;0.032066
1.200000;-5.741485;2.675339;7.526390;-0.005154;-0.014464;0.020202
1.208333;-5.747158;2.681038;7.510047;-0.000933;-0.027226;0.014745
1.216667;-5.759800;2.682893;7.514015;0.003376;-0.015544;0.015785
1.225000;-5.747234;2.681076;7.504556;-0.001965;0.009878;0.009385
1.233333;-5.741680;2.668005;7.511746;-0.000905;-0.010254;0.013677
1.241667;-5.745500;2.684828;7.499021;0.076155;-0.007999;0.020302
1.250000;-5.741565;2.679094;7.520899;0.004384;-0.035712;0.012512
1.258333;-5.748825;2.686542;7.521074;-0.004159;-0.017703;0.009390
1.266667;-5.741756;2.668043;7.506254;0.000305;-0.017558;0.038497
1.275000;-5.741717;2.679170;7.509916;-0.005129;0.008854;0.016981
1.283333;-5.745271;2.682856;7.515495;-0.000912;-0.026146;0.017984
1.291667;-5.745148;2.686510;7.524648;-0.007387;-0.016660;0.006188
1.300000;-5.741511;2.675352;7.524559;-0.009418;-0.020815;0.024570
1.308333;-5.748889;2.675427;7.515582;-0.004086;-0.009175;0.018037
1.316667;-5.747339;2.684844;7.497235;-0.009552;-0.007166;-0.001333
1.325000;-5.750891;2.686671;7.502814;-0.005096;-0.001717;0.025616
1.333333;-5.760037;2.692300;7.497542;0.018296;-0.029347;0.011275
1.341667;-5.745506;2.690404;7.499022;-0.001917;0.001442;0.020178
1.350000;-5.736087;2.690212;7.524429;-0.005090;0.007840;0.024534
1.358333;-5.749083;2.692244;7.502770;-0.005125;-0.001738;0.021295
1.366667;-5.748963;2.673606;7.510091;-0.000921;-0.018744;0.013673
1.375000;-5.763621;2.675565;7.499459;-0.000860;-0.005992;0.019087
1.383333;-5.749039;2.697795;7.506432;-0.001030;-0.009293;-0.005761
1.391667;-5.747070;2.693999;7.517370;-0.013793;-0.010306;0.006272
1.400000;-5.745304;2.690303;7.513665;0.001291;-0.005963;0.022291
1.408333;-5.745395;2.681060;7.506343;-0.002965;-0.005956;0.025585
1.416667;-5.738005;2.693983;7.517151;0.041846;-0.002799;0.006677
1.425000;-5.737783;2.675295;7.531793;0.001255;-0.008102;0.016887
1.433333;-5.736075;2.679060;7.524428;-0.012633;0.001425;0.017063
1.441667;-5.749085;2.694103;7.502770;0.016287;-0.012288;0.027507
1.450000;-5.741616;2.679119;7.517238;0.004468;-0.005984;0.016852
1.458333;-5.732447;2.677195;7.524340;0.016247;-0.012308;0.021021
1.466667;-5.741717;2.679170;7.509916;-0.007307;-0.014486;0.018070
1.475000;-5.734313;2.679082;7.520723;0.011980;0.000406;0.018922
1.483333;-5.752743;2.675547;7.499196;-0.002980;-0.004916;0.022350
1.491667;-5.739836;2.662413;7.513532;-0.022185;-0.018667;0.034449
1.500000;-5.745588;2.671867;7.491699;-0.004109;-0.032513;0.021263
1.508333;-5.756287;2.669939;7.504774;0.011996;-0.001716;0.021091
1.516667;-5.752667;2.675509;7.504687;-0.015861;-0.021918;0.020334
1.525000;-5.745536;2.669983;7.495359;-0.001950;-0.004948;0.015857
1.533333;-5.752706;2.664382;7.501025;0.018172;-0.027331;-0.010321
1.541667;-5.740099;2.671832;7.495228;0.003289;-0.023038;0.003898
1.550000;-5.741785;2.671773;7.504424;-0.012554;-0.001704;0.030025
1.558333;-5.741871;2.681104;7.498934;0.006685;-0.011225;0.030864
1.566667;-5.745487;2.671817;7.499020;0.005458;-0.025129;0.009271
1.575000;-5.752454;2.690265;7.521162;-0.013621;-0.018642;0.036504
1.583333;-5.756182;2.690322;7.513928;-0.007159;-0.006950;0.039676
1.591667;-5.741652;2.690285;7.515408;0.004569;0.009991;0.028741
1.600000;-5.741588;2.677248;7.519068;0.018429;-0.001683;0.024245
1.608333;-5.750605;2.679097;7.522948;-0.003077;-0.022990;0.012614
1.616667;-5.737836;2.677179;7.528133;-0.015881;-0.009204;0.013855
1.625000;-5.748920;2.681016;7.513752;-0.000965;-0.023013;0.008269
1.633333;-5.752570;2.679176;7.512009;-0.020090;0.004606;0.020403
