time;acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z
0.008333;-5.441254;1.370159;8.058086;0.002256;-0.021796;0.001394
0.016667;-5.426640;1.360790;8.065056;-0.005145;-0.018553;0.014442
0.025000;-5.426624;1.370071;8.066887;0.013073;-0.013201;0.018542
0.033333;-5.426862;1.355327;8.048583;-0.004075;0.004745;0.006889
0.041667;-5.432067;1.373797;8.067019;0.015120;-0.025985;0.007710
0.050000;-5.430534;1.351641;8.045010;0.008733;-0.017512;0.008879
0.058333;-5.430238;1.358925;8.066974;-0.001871;-0.013200;0.023046
0.066667;-5.430384;1.377574;8.057824;-0.010552;-0.022846;0.006945
0.075000;-5.441124;1.366378;8.067237;-0.005093;-0.016394;0.022006
0.083333;-5.440940;1.384864;8.081881;0.023800;-0.013154;0.023813
0.091667;-5.433784;1.379326;8.074385;0.030005;-0.030271;-0.005435
0.100000;-5.435755;1.384981;8.063447;0.051603;0.059966;-0.000232
0.108333;-5.432104;1.360812;8.063357;-0.022275;-0.010116;0.009258
0.116667;-5.428289;1.373715;8.077913;-0.019104;-0.013308;0.004893
0.125000;-5.448426;1.366416;8.063752;0.012962;-0.011181;-0.000886
0.133333;-5.419376;1.373775;8.066713;-0.004154;-0.018609;0.002546
0.141667;-5.423010;1.381216;8.066801;0.000139;-0.006938;0.001422
0.150000;-5.423294;1.362781;8.044835;0.002225;-0.013351;-0.006162
0.158333;-5.430448;1.366460;8.052332;0.006597;-0.023860;0.012138
0.166667;-5.415832;1.355233;8.059302;0.003368;-0.034470;0.012165
0.175000;-5.437291;1.362554;8.081792;0.015228;-0.013182;0.020678
0.183333;-5.441038;1.381197;8.074560;0.012098;-0.012063;0.033677
0.191667;-5.437494;1.362655;8.067150;-0.000998;-0.035605;-0.001818
0.200000;-5.433840;1.384927;8.070724;-0.004858;-0.025728;0.064110
0.208333;-5.426624;1.370071;8.066887;0.005593;-0.005789;0.017559
0.216667;-5.430087;1.358849;8.077956;-0.006282;-0.015425;0.002577
0.225000;-5.433823;1.368199;8.070723;0.002406;-0.019548;0.025149
0.233333;-5.437505;1.373807;8.067150;-0.004089;0.006864;0.004729
0.241667;-5.430160;1.381178;8.074297;-0.001829;-0.015274;0.031681
0.250000;-5.423092;1.362680;8.059478;-0.004076;0.005812;0.006886
0.258333;-5.419264;1.338423;8.072201;-0.003957;0.005910;0.025243
0.266667;-5.426652;1.347792;8.063225;0.003343;-0.000592;-0.002927
0.275000;-5.426577;1.373763;8.070548;0.012986;-0.009031;0.003426
0.283333;-5.434024;1.366441;8.056080;-0.005102;-0.031236;0.025235
0.291667;-5.426768;1.362711;8.055905;0.010761;-0.028183;-0.005197
0.300000;-5.434031;1.373876;8.056081;-0.001922;-0.020660;0.017643
0.308333;-5.426715;1.384978;8.061398;-0.001959;-0.013266;0.010085
0.316667;-5.430351;1.370127;8.059654;-0.008321;-0.011117;0.017726
0.325000;-5.426443;1.366265;8.079699;0.012941;-0.026014;0.001254
0.333333;-5.426663;1.358944;8.063226;-0.002056;-0.029241;-0.001803
0.341667;-5.430130;1.351440;8.074295;-0.000911;-0.018582;0.006831
0.350000;-5.404513;1.343848;8.090154;0.000219;-0.013221;0.015451
0.358333;-5.426342;1.366215;8.087021;0.005550;-0.014289;0.013231
0.366667;-5.419059;1.360614;8.088676;0.019453;-0.029102;0.017369
0.375000;-5.423156;1.351566;8.053986;0.024779;-0.001591;0.004372
0.383333;-5.423092;1.362680;8.059478;-0.010485;-0.017496;0.015587
0.391667;-5.426844;1.362749;8.050414;0.005420;-0.020771;-0.006206
0.400000;-5.432220;1.375731;8.056037;0.010878;-0.024908;0.013164
0.408333;-5.434176;1.366517;8.045098;-0.016869;-0.011130;0.018914
0.416667;-5.426682;1.377530;8.063227;-0.012596;-0.000520;0.015623
0.425000;-5.425035;1.366463;8.050370;0.010921;-0.006868;0.014256
0.433333;-5.432218;1.373873;8.056037;-0.000866;-0.023846;0.016547
0.441667;-5.421127;1.362601;8.070416;0.002323;-0.006901;0.007876
0.450000;-5.430045;1.368117;8.081617;-0.010466;-0.006875;0.015592
0.458333;-5.441124;1.366378;8.067237;-0.001964;-0.019632;0.010086
0.466667;-5.426500;1.347716;8.074207;-0.006359;-0.029264;-0.006071
0.475000;-5.444746;1.362667;8.067325;-0.008406;-0.026018;0.008001
0.483333;-5.408405;1.356991;8.071940;0.021598;-0.025923;0.017344
0.491667;-5.419310;1.358881;8.070372;-0.008477;-0.019712;-0.004961
0.500000;-5.408458;1.358875;8.068279;0.005429;-0.038760;0.001333
0.508333;-5.428484;1.366382;8.063270;0.013021;-0.013247;0.009905
0.516667;-5.422947;1.370039;8.070461;0.004365;-0.011213;-0.006191
0.525000;-5.424854;1.362658;8.063182;-0.006137;-0.019551;0.027412
0.533333;-5.415896;1.368269;8.055643;0.025634;-0.005994;-0.028046
0.541667;-5.419325;1.373750;8.070373;0.017346;-0.021670;0.020641
0.550000;-5.421012;1.373690;8.079569;-0.006266;-0.011168;0.004735
0.558333;-5.428300;1.384867;8.077914;0.000230;-0.021690;0.020850
0.566667;-5.430340;1.358975;8.059653;0.018289;-0.028140;0.001192
0.575000;-5.430332;1.351541;8.059652;0.016265;-0.007924;0.013112
0.583333;-5.430409;1.377587;8.055994;0.008804;-0.011085;0.019678
0.591667;-5.422936;1.358887;8.070460;0.002480;-0.030081;0.040258
0.600000;-5.415589;1.364400;8.077606;-0.008406;-0.033420;0.011225
0.608333;-5.432016;1.373772;8.070680;0.000076;-0.034535;-0.000753
0.616667;-5.422817;1.366259;8.079612;-0.025569;-0.017592;-0.001513
0.625000;-5.444800;1.366410;8.063664;0.008748;-0.025965;0.014273
0.633333;-5.442983;1.362689;8.063620;-0.000834;-0.023823;0.020871
0.641667;-5.415634;1.358850;8.073945;0.002339;-0.025954;0.016501
0.650000;-5.424760;1.370042;8.070504;0.030126;-0.013225;0.008614
0.658333;-5.413926;1.362614;8.066580;-0.057635;-0.030334;0.006427
0.666667;-5.421168;1.353333;8.066755;0.016254;0.012203;0.005562
0.675000;-5.401228;1.355158;8.066273;0.006553;-0.017527;0.003493
0.683333;-5.408382;1.358837;8.073770;0.015178;-0.013220;0.013111
0.691667;-5.411887;1.340206;8.081178;-0.011607;-0.018590;0.006955
0.700000;-5.421174;1.358909;8.066755;0.006564;-0.016463;0.004579
0.708333;-5.419209;1.358831;8.077693;0.020501;-0.027006;0.013040
0.716667;-5.426254;1.355025;8.092511;0.003346;-0.046126;0.012155
0.725000;-5.419476;1.347817;8.057559;0.007741;-0.024857;0.024000
0.733333;-5.419375;1.347767;8.064880;0.003378;-0.030224;0.012169
0.741667;-5.415521;1.347647;8.081266;0.006594;-0.025967;0.012129
0.750000;-5.424751;1.336599;8.068672;-0.006226;-0.017509;0.011217
0.758333;-5.420874;1.362475;8.088719;0.017320;-0.015328;0.014165
0.766667;-5.432024;1.381207;8.070680;-0.000942;-0.013304;0.001433
0.775000;-5.408417;1.368143;8.071940;0.008697;-0.013278;0.003470
0.783333;-5.426628;1.373788;8.066888;-0.010554;-0.023902;0.006942
0.791667;-5.413778;1.366256;8.077563;0.025805;-0.023853;0.005415
0.800000;-5.412027;1.377430;8.073859;0.017230;-0.035531;0.006590
0.808333;-5.397559;1.362561;8.069847;-0.014797;-0.021754;0.012386
0.816667;-5.423006;1.377499;8.066800;0.013045;-0.008983;0.013144
0.825000;-5.413887;1.373741;8.070242;0.008723;-0.006902;0.005635
0.833333;-5.411910;1.362510;8.081179;0.008756;-0.007931;0.011033
0.841667;-5.410323;1.384912;8.066494;-0.016865;-0.017461;0.023217
0.850000;-5.415701;1.375603;8.070286;0.011894;-0.012225;0.001273
0.858333;-5.404674;1.377367;8.081005;-0.004134;-0.030233;0.010090
0.866667;-5.426579;1.375621;8.070549;-0.010575;-0.020738;0.002624
0.875000;-5.415482;1.358774;8.084927;0.008713;-0.034450;0.012095
0.883333;-5.415536;1.362516;8.081267;0.010863;-0.032321;0.013151
0.891667;-5.403206;1.368247;8.055336;-0.008461;-0.036651;0.003662
0.900000;-5.415898;1.370127;8.055643;0.015225;0.004819;0.015287
0.908333;-5.426581;1.377480;8.070549;0.006473;-0.030303;-0.005150
0.916667;-5.415450;1.377335;8.088589;-0.009435;-0.027022;0.016639
0.925000;-5.421207;1.366356;8.064926;0.010910;-0.004749;0.012094
0.933333;-5.413825;1.362564;8.073902;0.025820;-0.020666;0.006498
0.941667;-5.411908;1.360652;8.081179;-0.010524;-0.004800;0.005870
0.950000;-5.422944;1.366322;8.070460;-0.000948;-0.024964;0.003584
0.958333;-5.420993;1.355104;8.079567;0.016492;0.070669;0.026118
0.966667;-5.419148;1.373662;8.083186;0.005598;-0.025902;0.025099
0.975000;-5.419316;1.364457;8.070373;0.011939;-0.001599;0.004523
0.983333;-5.411899;1.351358;8.081178;-0.005179;-0.007977;0.005804
0.991667;-5.415367;1.369863;8.094080;0.009876;-0.029068;0.026122
1.000000;-5.411928;1.355088;8.079348;0.002349;-0.031240;0.019735
1.008333;-5.423018;1.364501;8.064969;-0.008391;-0.030239;0.012311
1.016667;-5.419349;1.347754;8.066711;-0.007277;-0.022788;0.016623
1.025000;-5.412025;1.351421;8.072027;-0.009236;-0.007808;0.041494
1.033333;-5.397421;1.351346;8.078998;0.000119;-0.029195;0.004640
1.041667;-5.401152;1.355120;8.071764;-0.004116;-0.023872;0.010097
1.050000;-5.404587;1.366177;8.086495;0.017236;-0.004798;-0.002031
1.058333;-5.399269;1.360655;8.077212;-0.016947;-0.034475;0.014563
1.066667;-5.399119;1.362438;8.088194;0.008766;-0.001559;0.011032
1.075000;-5.397049;1.358592;8.106453;0.000066;-0.030280;-0.002925
1.083333;-5.408273;1.351352;8.081091;-0.011653;-0.022861;0.001551
1.091667;-5.404629;1.358768;8.082834;0.008785;0.024936;0.005654
1.100000;-5.393871;1.351377;8.073419;0.011009;-0.018432;0.032594
1.108333;-5.393725;1.356878;8.084402;0.020488;-0.003700;0.004408
1.116667;-5.377243;1.343764;8.094989;-0.011559;-0.020652;0.016660
1.125000;-5.389848;1.358604;8.102618;0.010925;-0.000471;0.014242
1.133333;-5.395053;1.328774;8.117389;0.025842;-0.003678;0.004341
1.141667;-5.400831;1.338241;8.093727;-0.004068;-0.021707;0.016576
1.150000;-5.397288;1.345707;8.088149;0.017335;-0.011076;0.015242
1.158333;-5.421094;1.355154;8.072246;0.007732;-0.014261;0.019686
1.166667;-5.400873;1.354981;8.091898;0.019513;-0.003623;0.019541
1.175000;-5.400877;1.358699;8.091898;-0.006033;-0.004615;0.040370
1.183333;-5.413832;1.369998;8.073902;0.015344;-0.008846;0.039032
1.191667;-5.404756;1.358831;8.073683;0.020561;-0.001530;0.015213
1.200000;-5.408311;1.388525;8.081094;0.003616;0.003892;0.042419
1.208333;-5.426779;1.422163;8.059570;0.046208;0.006963;0.010589
1.216667;-5.401348;1.448103;8.064450;-0.038474;0.001423;-0.014316
1.225000;-5.396032;1.444440;8.055167;-0.008618;-0.036755;-0.017946
1.233333;-5.405023;1.422126;8.059044;0.015074;-0.016473;0.000145
1.241667;-5.372214;1.397832;8.069237;-0.001072;-0.020805;-0.014791
1.250000;-5.395769;1.384862;8.069805;-0.001998;0.007903;-0.001791
1.258333;-5.413937;1.373766;8.066581;-0.023542;0.005624;-0.026362
1.266667;-5.404875;1.351459;8.064530;-0.005169;-0.002679;0.005808
1.275000;-5.415717;1.366322;8.068455;-0.022473;0.000326;-0.025298
1.283333;-5.397426;1.381072;8.080830;-0.025601;0.012056;-0.014461
1.291667;-5.430180;1.375615;8.072466;-0.017059;0.024753;-0.022103
1.300000;-5.408508;1.358900;8.064618;-0.022335;0.005733;-0.004777
1.308333;-5.389902;1.362347;8.098957;0.006618;0.033399;-0.000801
