time;acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z
0.008333;-4.773060;-1.769106;8.427839;-0.030030;0.022133;0.002239
0.016667;-4.789249;-1.741337;8.442565;-0.028949;0.009581;0.000027
0.025000;-4.791054;-1.744944;8.449827;-0.001612;0.018976;0.001993
0.033333;-4.783935;-1.763429;8.438764;-0.013136;-0.013801;0.001900
0.041667;-4.794927;-1.759676;8.435057;-0.005834;0.032046;-0.004208
0.050000;-4.783936;-1.752488;8.427897;-0.034267;0.038855;0.005515
0.058333;-4.787391;-1.737685;8.442612;-0.020468;-0.024786;-0.008667
0.066667;-4.800398;-1.741365;8.420558;-0.020470;-0.043848;0.009138
0.075000;-4.794929;-1.745088;8.420568;-0.020518;0.006000;-0.010585
0.083333;-4.784002;-1.752543;8.418763;-0.001523;-0.027372;-0.018287
0.091667;-4.791212;-1.745078;8.427904;-0.024716;-0.011688;0.001984
0.100000;-4.783885;-1.741502;8.424339;-0.009950;-0.039168;0.001714
0.108333;-4.791146;-1.746846;8.438849;-0.028930;0.001381;-0.004231
0.116667;-4.780298;-1.756192;8.427894;-0.064716;-0.003763;0.010757
0.125000;-4.793083;-1.748741;8.426032;-0.024648;-0.047115;-0.006650
0.133333;-4.793056;-1.748719;8.429686;-0.000534;-0.014566;0.014438
0.141667;-4.795032;-1.761589;8.422253;-0.034247;0.035143;-0.002927
0.150000;-4.785898;-1.767170;8.424103;-0.014209;0.001321;-0.003267
0.158333;-4.787521;-1.748738;8.435208;-0.038350;-0.012264;-0.023205
0.166667;-4.785859;-1.761666;8.424150;-0.024728;0.003625;-0.006342
0.175000;-4.791186;-1.741409;8.427937;-0.028901;-0.002810;-0.022169
0.183333;-4.791420;-1.767139;8.420406;-0.003622;-0.025065;-0.021408
0.191667;-4.794901;-1.752359;8.431466;0.045743;0.008680;-0.002616
0.200000;-4.776542;-1.756150;8.440710;-0.003701;0.005230;0.001938
0.208333;-4.794928;-1.752382;8.427813;-0.041580;0.002591;0.010624
