time;acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z
0.008333;-5.737345;2.801142;7.474195;-0.007505;0.004777;0.029743
0.016667;-5.735475;2.795537;7.477811;0.003187;0.012204;0.026378
0.025000;-5.720872;2.797321;7.484783;0.009543;-0.000541;0.020886
0.033333;-5.720736;2.812115;7.495766;0.028852;-0.006817;0.032523
0.041667;-5.722802;2.812244;7.477506;-0.005422;-0.035513;0.034003
0.050000;-5.724798;2.793761;7.462905;-0.010882;-0.020793;0.010325
0.058333;-5.731917;2.812285;7.474064;0.007349;-0.028137;0.020897
0.066667;-5.724765;2.810464;7.466567;0.014996;0.013315;0.033792
0.075000;-5.724467;2.815889;7.488533;-0.007637;-0.018621;0.016761
0.083333;-5.717308;2.808492;7.481035;-0.005567;-0.023975;0.007012
0.091667;-5.720975;2.799230;7.477461;-0.017320;-0.012333;0.005006
0.100000;-5.730044;2.827114;7.479513;-0.005594;-0.015521;0.000541
0.108333;-5.717330;2.804787;7.479205;-0.003369;0.002558;0.008085
0.116667;-5.739154;2.797428;7.474238;0.001006;0.018522;0.017771
0.125000;-5.720470;2.793496;7.480731;0.014068;-0.024298;0.024642
0.133333;-5.727712;2.808366;7.482737;-0.003098;-0.011647;0.012981
0.141667;-5.735141;2.808466;7.470100;0.001201;-0.012693;0.016172
0.150000;-5.735250;2.815951;7.462778;0.005492;0.005330;0.012893
0.158333;-5.722462;2.819597;7.469794;0.005472;-0.013747;0.016114
0.166667;-5.705910;2.812020;7.485873;-0.003114;-0.003176;0.008659
0.175000;-5.706091;2.815826;7.473060;0.010776;-0.018007;0.010641
0.183333;-5.720602;2.823286;7.473411;0.009820;-0.000969;0.023628
0.191667;-5.716900;2.823242;7.478815;-0.001045;-0.022303;0.003224
0.200000;-5.735083;2.801006;7.473760;0.003373;-0.013723;0.021545
0.208333;-5.724063;2.810205;7.484480;-0.005206;0.008506;0.011939
0.216667;-5.735098;2.815876;7.473761;-0.011560;0.003245;0.023897
0.225000;-5.738771;2.812190;7.470187;0.014027;-0.003149;0.011704
0.233333;-5.724032;2.804617;7.486310;0.005605;0.022385;0.025857
0.241667;-5.742337;2.802877;7.473935;-0.013743;0.002142;0.016367
