Time (s),Roll (deg),Pitch (deg),Yaw (deg)
0.772186756,4.43012,34.48728,94.41031
0.777105331,4.431994,34.48829,94.41672
0.782023907,4.433472,34.4869,94.41937
0.786942005,4.433236,34.48425,94.41866
0.791860580,4.435166,34.48421,94.42162
0.796779156,4.436962,34.48356,94.42488
0.801697254,4.437955,34.48122,94.42661
0.806615829,4.43951,34.47968,94.42941
0.811534405,4.443021,34.47724,94.43389
0.816452503,4.446668,34.47331,94.43747
0.821371078,4.447845,34.46833,94.43776
0.826289654,4.449285,34.46614,94.44059
0.833666801,4.451017,34.46272,94.44232
0.838585377,4.454122,34.46106,94.44085
0.843503475,4.455859,34.46042,94.43234
0.848422050,4.459869,34.46451,94.4263
0.853340626,4.46473,34.46791,94.41586
0.858258724,4.467159,34.47184,94.39977
0.863177299,4.472184,34.48116,94.38959
0.868095875,4.477888,34.49076,94.37866
0.873013973,4.481014,34.49995,94.36575
0.877932548,4.484746,34.51137,94.35657
0.882851124,4.491323,34.52082,94.35085
0.887771606,4.49501,34.52565,94.3419
0.892687798,4.499628,34.53164,94.33585
0.900065422,4.510216,34.54433,94.32165
0.904983520,4.518277,34.55688,94.30968
0.909902096,4.530523,34.57175,94.29212
0.914820194,4.545426,34.59359,94.26699
0.919738770,4.561447,34.62319,94.23514
0.924657345,4.582489,34.66603,94.20769
0.929575443,4.605583,34.71516,94.1849
0.934494019,4.63022,34.76901,94.16679
0.939412594,4.655859,34.82466,94.15654
0.944330692,4.684829,34.87663,94.15092
0.949249268,4.71519,34.92136,94.14551
0.954167843,4.749277,34.96163,94.14043
0.961544991,4.801565,35.02263,94.12421
0.966463566,4.838419,35.06999,94.11912
0.971382141,4.883295,35.11433,94.11391
0.976300240,4.929494,35.15788,94.09308
0.981218815,4.984519,35.21914,94.07867
0.986136913,5.053772,35.2999,94.08344
0.991055489,5.131782,35.38487,94.09987
0.995974064,5.216142,35.46698,94.12672
1.000892162,5.301897,35.54138,94.16058
1.005810738,5.381699,35.60494,94.19706
1.010729313,5.45619,35.65952,94.23007
1.015647411,5.524628,35.71065,94.26987
1.020565987,5.585378,35.75129,94.30412
1.025484562,5.636322,35.78435,94.33259
1.030402184,5.678474,35.80973,94.35293
1.037780285,5.730496,35.83833,94.36633
1.042698860,5.75856,35.862,94.37164
1.047616959,5.786661,35.89134,94.37341
1.052535534,5.820125,35.933,94.38834
1.057453632,5.856579,35.97415,94.41087
1.062372208,5.896699,36.0143,94.43692
1.067290783,5.939344,36.05199,94.4668
1.072208881,5.982264,36.08278,94.49553
1.077127457,6.02284,36.10943,94.52162
1.082048416,6.058935,36.13382,94.54546
1.086963654,6.091023,36.15315,94.55937
