Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,-0.03961816,0.03114461,-0.1611231,-0.5601872,0.3048292,0.746928,24.58071,-25.40204,-37.79139,994.939
0.002460003,0.02219578,0.2088339,-0.1001354,-0.5650506,0.3032864,0.7488606,24.58071,-25.40204,-37.79139,994.939
0.004919529,0.02218882,0.09030223,0.0217704,-0.5616359,0.3023698,0.7473465,24.57521,-25.38716,-38.23833,994.939
0.007378578,0.02218186,-0.02819224,0.02176357,-0.5616345,0.3004383,0.7463135,24.57521,-25.38716,-38.23833,994.939
0.009838581,-0.1632295,-0.02818343,-0.0391804,-0.5621198,0.295605,0.7437348,24.57521,-25.38716,-38.23833,994.939
0.012298107,0.0222262,0.09029149,0.02176906,-0.5640715,0.2989539,0.746286,24.57521,-25.38716,-38.23833,994.939
0.017217159,-0.1631727,0.09025341,-0.1000997,-0.5683789,0.2963228,0.754491,24.57521,-25.38716,-38.23833,994.939
0.019676685,-0.2249229,-0.1467071,-0.2219426,-0.5630807,0.300867,0.7487668,24.57521,-25.38716,-38.23833,994.939
0.022135735,-0.1630508,0.09027115,0.02187571,-0.5611009,0.3008394,0.7511774,24.57521,-25.38716,-38.23833,994.939
0.024596691,-0.1011982,-0.1466893,0.08280598,-0.5640742,0.2994413,0.7463016,24.57521,-25.38716,-38.23833,994.9434
0.027055264,-0.1629678,0.0310559,-0.1000314,-0.5660641,0.2970772,0.7413868,24.57521,-25.38716,-38.23833,994.9434
0.029515266,0.08428928,0.03104618,0.08281142,-0.5621797,0.3029525,0.7420288,24.57521,-25.38716,-38.23833,994.9434
0.031974316,0.08426281,0.03103646,-0.03908887,-0.5606719,0.3024058,0.7458832,24.57521,-25.38716,-38.23833,994.9434
0.034433842,-0.1629695,0.03102674,0.02186056,-0.5620964,0.2989353,0.7482113,24.57521,-25.38716,-38.23833,994.9434
0.036893845,-0.2247198,0.03101702,0.08279084,-0.5597134,0.3000411,0.7424007,24.57521,-25.38716,-38.23833,994.9434
0.039352894,-0.1628477,-0.0874588,-0.1000466,-0.5620894,0.2960289,0.7471469,24.57521,-25.38716,-38.23833,994.9434
0.041812420,-0.03919361,0.2087339,-0.039078,-0.5659782,0.2959482,0.749604,24.57521,-25.38716,-38.23833,994.9434
0.044272423,0.08442164,0.03096921,0.02187143,-0.5621254,0.2999555,0.7458165,24.57521,-25.38716,-38.23833,994.9434
0.046734810,-0.1010093,-0.1467396,0.02186457,-0.5626308,0.2994999,0.7438639,24.57521,-25.38716,-38.23833,994.9434
0.049193859,-0.0391761,0.0310056,0.02185771,-0.5651064,0.2990538,0.7404712,24.57521,-25.38716,-38.23833,994.9434
0.051651001,-0.03916378,-0.02823711,0.08278799,-0.5615959,0.2993999,0.7496787,24.57521,-25.38716,-38.23833,994.9434
0.054110050,-0.3481588,0.03100481,-0.0391123,-0.5620747,0.2984116,0.7501364,25.32853,-26.12678,-38.25919,994.9434
0.056570053,0.0227594,0.03099509,-0.1000371,-0.5645491,0.2994097,0.7477611,25.32853,-26.12678,-38.25919,994.9434
0.059029579,0.02275227,-0.08748073,0.02186858,-0.5635655,0.2984437,0.747722,25.32853,-26.12678,-38.25919,994.9434
0.063948631,-0.1008455,0.09025465,-0.03904402,-0.5630807,0.300867,0.7487668,25.32853,-26.12678,-38.25919,994.9434
0.066408157,-0.03901238,-0.1467058,0.08284252,-0.5640419,0.3003436,0.7502145,25.32853,-26.12678,-38.25919,994.9434
0.068867683,0.1464043,-0.02819371,0.02187934,-0.5626432,0.3033811,0.7449596,25.32853,-26.12678,-38.25919,994.9434
0.071327686,-0.1008475,-0.0281849,0.08280962,-0.56013,0.2979691,0.7486497,25.32853,-26.12678,-38.25919,994.9434
0.073786736,-0.03901438,0.09029002,0.0827836,-0.559219,0.3024463,0.7444159,25.32853,-26.12678,-38.25919,994.9434
0.076246738,0.02279932,-0.02820445,0.02182045,-0.5635737,0.2999059,0.747769,25.32853,-26.12678,-38.25919,994.9434
0.078706265,-0.03900931,-0.02819564,0.02181359,-0.5645329,0.2998608,0.7497176,25.32853,-26.12678,-38.25919,994.9434
