Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,0.2867231,-0.3017836,0.04311021,-0.4455623,0.007651454,0.8869748,13.08286,-14.56378,-33.3965,986.1249
0.004917145,0.1012604,-0.1832803,0.1040665,-0.4397593,0.01024141,0.8816693,13.08286,-14.56378,-33.3965,986.1249
0.009834290,0.348544,-0.2425319,-0.01784608,-0.4372703,0.01162603,0.8870342,13.08286,-14.56378,-33.3965,986.1249
0.014752388,0.2867231,-0.1832803,0.1650228,-0.4421076,0.003764948,0.8877929,13.08286,-14.56378,-33.3965,986.1249
0.019669533,0.4103649,-0.2425319,0.2259791,-0.4387538,0.01453726,0.8871397,13.08286,-14.56378,-33.3965,986.1249
0.024587631,0.4103649,-0.1832803,0.1650228,-0.4382652,0.0121318,0.8856019,13.08286,-14.56378,-33.3965,986.1249
0.029504776,0.5340067,-0.2425319,-0.01784608,-0.4387079,0.01637809,0.8930248,13.08286,-14.56378,-33.3965,986.1249
0.034422398,0.4721858,-0.3017836,0.2259791,-0.4358551,0.01173907,0.8816853,12.71408,-13.91607,-32.54668,986.1276
0.041799068,0.348544,-0.1832803,0.04311021,-0.4358038,0.01260507,0.8875391,12.71408,-13.91607,-32.54668,986.1276
0.046716690,0.348544,-0.1240286,0.1040665,-0.4421184,0.0148758,0.8934901,12.71408,-13.91607,-32.54668,986.1276
0.051634312,0.348544,-0.06477699,-0.07880237,-0.4342901,0.01349341,0.8928961,12.71408,-13.91607,-32.54668,986.1276
0.056551456,0.1012604,-0.005525345,0.1650228,-0.4416819,0.0125701,0.8866152,12.71408,-13.91607,-32.54668,986.1276
0.061469555,0.2249022,-0.06477699,0.04311021,-0.4397297,0.01163111,0.8855979,12.71408,-13.91607,-32.54668,986.1276
0.066386700,0.348544,0.0537263,-0.07880237,-0.4406849,0.01254268,0.8885481,12.71408,-13.91607,-32.54668,986.1276
0.071304798,0.1012604,-0.005525345,-0.01784608,-0.4377844,0.01359848,0.885645,12.71408,-13.91607,-32.54668,986.1276
0.076221943,0.2249022,-0.1240286,0.1040665,-0.4436226,0.01396931,0.8891036,12.71408,-13.91607,-32.54668,986.1286
0.081139088,0.2867231,-0.06477699,-0.01784608,-0.4402153,0.0101735,0.8850697,12.71408,-13.91607,-32.54668,986.1286
0.086057186,0.2249022,-0.06477699,0.2259791,-0.4402438,0.01360356,0.8842088,12.70386,-13.88843,-33.37671,986.1286
0.090974331,0.1012604,0.0537263,-0.07880237,-0.4392264,0.01160833,0.8870496,12.70386,-13.88843,-33.37671,986.1286
0.095892429,0.2249022,-0.06477699,0.1040665,-0.4460864,0.007232169,0.8830814,12.70386,-13.88843,-33.37671,986.1286
0.100809574,0.1630813,-0.1832803,0.1040665,-0.4402575,0.01604065,0.884287,12.70386,-13.88843,-33.37671,986.1286
0.105726719,0.1630813,-0.1240286,0.1040665,-0.4406839,0.008201266,0.8859813,12.70386,-13.88843,-33.37671,986.1286
0.113103390,0.1012604,-0.2425319,-0.1397587,-0.4421742,0.01064321,0.8851008,12.70386,-13.88843,-33.37671,986.1286
0.118021011,0.1012604,-0.2425319,-0.01784608,-0.4382605,0.01212273,0.8860872,12.70386,-13.88843,-33.37671,986.1251
0.122938633,0.03943952,-0.2425319,-0.07880237,-0.4412112,0.01502069,0.8862043,12.70386,-13.88843,-33.37671,986.1251
0.127856255,0.1630813,-0.2425319,0.1040665,-0.4407051,0.01113484,0.88559,12.70386,-13.88843,-33.37671,986.1251
0.132773876,0.2249022,-0.1240286,0.1650228,-0.4362734,0.01497425,0.8910177,13.82777,-14.20347,-33.38365,986.1251
0.137691498,0.03943952,-0.06477699,-0.07880237,-0.4387652,0.01407705,0.8856684,13.82777,-14.20347,-33.38365,986.1251
0.142609119,0.1012604,-0.06477699,0.1650228,-0.4387057,0.0134808,0.8914753,13.82777,-14.20347,-33.38365,986.1251
0.147526741,0.2249022,-0.1832803,-0.1397587,-0.4387667,0.01600858,0.8867015,13.82777,-14.20347,-33.38365,986.1251
0.152443886,0.1012604,0.1129779,-0.01784608,-0.4406849,0.01254268,0.8885481,13.82777,-14.20347,-33.38365,986.1251
0.157361984,-0.02238137,0.0537263,0.04311021,-0.4397297,0.01163111,0.8855979,13.82777,-14.20347,-33.38365,986.1243
0.162279129,0.03943952,0.1129779,-0.200715,-0.4436737,0.009727661,0.8811995,13.82777,-14.20347,-33.38365,986.1243
0.167206764,0.1012604,0.0537263,-0.200715,-0.4392752,0.01363055,0.8832307,13.82777,-14.20347,-33.38365,986.1243
0.172114372,0.03943952,0.1722296,-0.07880237,-0.4402237,0.0150114,0.8871669,13.82777,-14.20347,-33.38365,986.1243
0.179491043,0.03943952,0.0537263,-0.01784608,-0.4460691,0.01250307,0.8881056,13.82777,-14.20347,-33.38365,986.1243
0.184408188,0.348544,-0.06477699,-0.2616712,-0.4396376,0.00856149,0.8932673,12.70619,-14.19397,-33.38607,986.1243
0.189325333,0.1012604,0.0537263,0.04311021,-0.4416975,0.01452885,0.8861926,12.70619,-14.19397,-33.38607,986.1243
0.194243431,0.1012604,0.0537263,-0.200715,-0.4412861,0.01420004,0.8779245,12.70619,-14.19397,-33.38607,986.1243
0.199160576,0.1012604,-0.005525345,-0.07880237,-0.4422025,0.01069763,0.8821896,12.70619,-14.19397,-33.38607,986.1267
0.204078674,0.1012604,0.0537263,0.04311021,-0.4402085,0.01064278,0.8860557,12.70619,-14.19397,-33.38607,986.1267
0.208995819,0.2249022,-0.1832803,0.04311021,-0.4421946,0.01261103,0.8841929,12.70619,-14.19397,-33.38607,986.1267
0.213913918,0.03943952,-0.06477699,-0.07880237,-0.4450334,0.008061672,0.8913535,12.70619,-14.19397,-33.38607,986.1267
0.218831062,0.03943952,-0.1240286,-0.01784608,-0.4378082,0.01701947,0.8852694,12.70619,-14.19397,-33.38607,986.1267
