Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.120491505,-0.05908375,0.02056971,-0.05647614,-0.5382859,0.160644,0.7994184,31.17604,0.3255965,-36.92254,992.3804
0.122951031,-0.1208667,-0.03866973,-0.05645841,-0.5338792,0.1630847,0.8014026,31.17604,0.3255965,-36.92254,992.3804
0.125410557,-0.05902721,0.07980847,-0.1173778,-0.5259793,0.1606005,0.8075701,31.17604,0.3255965,-36.92254,992.3804
0.127869129,0.06459428,0.1982495,-0.1173409,-0.5343374,0.1567529,0.8007178,31.17604,0.3255965,-36.92254,992.3804
0.130328178,-0.3062348,0.02048811,-0.3610526,-0.5382422,0.1528453,0.799168,31.17604,0.3255965,-36.92254,992.3787
0.132786751,-0.3679401,0.1389478,-0.1171906,-0.535804,0.1591495,0.8022634,31.17604,0.3255965,-36.92254,992.3787
0.135246277,-0.1824201,0.1389042,0.004720471,-0.5328365,0.1557369,0.8035862,31.17604,0.3255965,-36.92254,992.3787
0.140164375,-0.1205041,0.1388541,-0.05620047,-0.5309345,0.1587517,0.7997829,31.17604,0.3255965,-36.92254,992.3787
0.142623425,-0.1822677,0.1980435,-0.05618281,-0.5333676,0.158224,0.8007571,31.17604,0.3255965,-36.92254,992.3787
0.145081997,-0.1204089,0.0202822,-0.1780395,-0.5304092,0.1514539,0.7990591,31.17604,0.3255965,-36.92254,992.3787
0.147541523,-0.2439741,-0.09819023,-0.1779835,-0.5343289,0.1610762,0.8042551,31.17604,0.3255965,-36.92254,992.3787
0.150000095,-0.3056989,0.1980057,-0.1779276,-0.531887,0.1591758,0.8027176,31.17604,0.3255965,-36.92254,992.3787
0.152459621,-0.4292058,0.1979436,-0.2388089,-0.5329084,0.1602144,0.798875,31.17604,0.3255965,-36.92254,992.3787
0.154918194,-0.1200636,0.07941529,-0.1168595,-0.5328689,0.1548346,0.7996733,31.17604,0.3255965,-36.92254,992.3787
0.157377243,-0.1200259,0.07939032,-0.17776,-0.5352738,0.1576282,0.8056089,31.17604,0.3255965,-36.92254,992.3787
0.159836769,-0.2435911,-0.03910065,-0.1777041,-0.5328409,0.1615315,0.8066852,31.17604,0.3255965,-36.92254,992.3787
