Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.000000000,-0.01029784,-0.02723977,-0.04235629,-0.3917952,0.04580314,0.9066926,33.19985,-8.640553,-45.56503,986.1089
0.004917145,0.1750354,0.03204759,-0.04231054,-0.3927632,0.04481037,0.9071543,33.19985,-8.640553,-45.56503,986.1089
0.009835243,0.2985089,0.1504377,0.07959036,-0.3903868,0.0454469,0.9003577,33.19985,-8.640553,-45.56503,986.1089
0.014752388,0.05115433,-0.2642321,0.01864151,-0.3913381,0.04731515,0.9043097,33.19985,-8.640553,-45.56503,986.1055
0.019669533,0.236546,0.091239,-0.04232647,-0.3907548,0.04135266,0.9104257,33.94374,-9.354669,-46.35207,986.1055
0.024587154,-0.07255165,-0.02720993,0.1404733,-0.390361,0.04250425,0.9012342,33.94374,-9.354669,-46.35207,986.1055
0.029504299,0.1128789,-0.08640733,-0.1033444,-0.3927846,0.04195842,0.9031787,33.94374,-9.354669,-46.35207,986.1055
0.034421444,0.1127886,-0.3233224,0.14045,-0.3962433,0.04488823,0.901359,33.94374,-9.354669,-46.35207,986.1055
0.039339066,0.1127177,0.0322231,0.07946287,-0.3873796,0.04581575,0.9081134,33.94374,-9.354669,-46.35207,986.1055
0.076219082,0.05028937,-0.1452744,0.07910844,-0.3888622,0.04438557,0.905652,33.56427,-8.618211,-46.3304,986.1082
0.081136704,0.1120204,0.03249738,-0.04279641,-0.3898405,0.04775236,0.9077101,33.56427,-8.618211,-46.3304,986.1082
0.086053848,0.2973351,-0.02671889,0.0181293,-0.3907486,0.03941207,0.9098779,33.56427,-8.618211,-46.3304,986.1082
0.167190552,-0.1361971,0.09191041,-0.1043704,-0.391304,0.04291026,0.9051393,33.18953,-7.894507,-45.92564,986.1014
0.172107697,-0.1979907,0.09185278,0.01756943,-0.3882831,0.04084203,0.9128167,34.31199,-8.624549,-46.32878,986.1014
0.177025795,-0.01246192,0.03258056,0.1394518,-0.3903577,0.04442671,0.9027524,34.31199,-8.624549,-46.32878,986.0997
0.181942940,0.04928911,-0.08583152,0.01747078,-0.3932413,0.04285628,0.9070956,34.31199,-8.624549,-46.32878,986.0997
0.186860085,-0.07430598,-0.02661898,0.01742154,-0.3947383,0.04482894,0.905229,34.31199,-8.624549,-46.32878,986.0997
0.191777229,0.0492854,-0.02663944,0.01744892,-0.393748,0.04433224,0.9061759,34.31199,-8.624549,-46.32878,986.0997
0.196694851,-0.07432909,-0.2043032,0.01743799,-0.3863866,0.04483162,0.9090447,34.31199,-8.624549,-46.32878,986.0997
0.204070568,0.111126,-0.02648597,-0.04353475,-0.3854443,0.04539138,0.9056562,34.31199,-8.624549,-46.32878,986.0997
0.208988190,-0.01254676,-0.08570235,0.07836685,-0.3888356,0.04047716,0.906012,34.31199,-8.624549,-46.32878,986.0997
0.213905335,-0.01253886,0.03281755,0.261129,-0.3961094,0.04270276,0.9139116,34.31199,-8.624549,-46.32878,986.0997
0.218823433,0.1110525,0.03285281,0.2000661,-0.3952692,0.04394039,0.9003495,33.19513,-8.627797,-45.94812,986.1008
0.223740578,0.1728037,-0.02638233,0.1390224,-0.3917654,0.04381718,0.9085709,33.19513,-8.627797,-45.94812,986.1008
0.228657723,0.1109131,-0.1448132,0.01711815,-0.3874095,0.0478017,0.9062352,33.19513,-8.627797,-45.94812,986.1008
0.233574867,0.1107851,0.1514244,0.07800625,-0.3892938,0.04330655,0.9109618,33.19513,-8.627797,-45.94812,986.1008
0.238492489,0.04893348,0.03286321,0.2607495,-0.3903112,0.04530178,0.908121,33.19513,-8.627797,-45.94812,986.1008
0.243409634,0.04892216,-0.1448379,0.07781255,-0.3893363,0.04338817,0.906595,33.19513,-8.627797,-45.94812,986.1008
0.248326778,-0.0129489,0.2106512,0.07780191,-0.3908232,0.04437693,0.9051823,33.19513,-8.627797,-45.94812,986.1008
0.295042038,0.04858115,0.092249,0.01651636,-0.3907373,0.04324792,0.9133995,33.56899,-8.630966,-45.94731,986.1008
0.299959183,0.1721341,-0.1446853,0.07738569,-0.3937534,0.04530708,0.9062072,33.56899,-8.630966,-45.94731,986.0956
0.304877281,0.04844249,-0.1446316,0.1382551,-0.3912744,0.04429995,0.9090677,33.56899,-8.630966,-45.94731,986.0956
0.309794426,-0.07519086,0.03313975,-0.04464322,-0.3951741,0.04616888,0.9115874,33.56899,-8.630966,-45.94731,986.0956
0.314711571,0.2955682,-0.1446174,0.07727826,-0.3874187,0.04444419,0.9032144,33.56899,-8.630966,-45.94731,986.0956
0.319628716,-0.0135278,0.0331167,0.138186,-0.3922316,0.04473317,0.9115173,32.81577,-8.609745,-46.39586,986.0956
0.324546337,0.1101031,0.0923289,0.01628232,-0.3883313,0.04527414,0.9105315,32.81577,-8.609745,-46.39586,986.0956
0.329463482,-0.07537051,0.09228946,0.01625296,-0.3878722,0.04726451,0.9086494,32.81577,-8.609745,-46.39586,986.0956
0.336839199,0.1718676,-0.1446738,0.1381311,-0.3931843,0.0393718,0.9108676,32.81577,-8.609745,-46.39586,986.0939
0.341756821,0.1717791,0.09233048,0.01618913,-0.3907353,0.04372627,0.9139003,32.81577,-8.609745,-46.39586,986.0939
0.346674442,0.1716323,0.1515055,0.07709694,-0.3932928,0.04536592,0.9032921,32.81577,-8.609745,-46.39586,986.0939
0.351592064,0.109723,-0.144699,0.1988845,-0.3897814,0.04137059,0.9099327,32.81577,-8.609745,-46.39586,986.0939
0.356509209,0.2332764,0.0330724,0.07688528,-0.3917316,0.04278793,0.9114508,32.81577,-8.609745,-46.39586,986.0939
0.361426354,0.1712896,0.03307025,0.1377741,-0.3918607,0.04496433,0.8993832,32.81577,-8.609745,-46.39586,986.0939
0.366343975,0.1093805,0.03304945,0.07680785,-0.3931927,0.04420969,0.9129649,33.19513,-8.627797,-45.94812,986.0939
0.371261120,0.1092924,-0.2039034,0.1376968,-0.3942587,0.04485151,0.9042547,33.19513,-8.627797,-45.94812,986.0939
0.376178265,-0.0143792,0.03308234,0.01575512,-0.3912533,0.04136638,0.9094591,33.19513,-8.627797,-45.94812,986.0922
0.381095886,0.1709954,-0.1445817,0.2594746,-0.3912498,0.03991319,0.9089269,33.19513,-8.627797,-45.94812,986.0922
0.386013508,-0.1380416,0.03309658,0.07650016,-0.3927435,0.04380833,0.9085786,33.19513,-8.627797,-45.94812,986.0922
0.390931130,0.04744953,-0.2629963,0.1983264,-0.392233,0.04666471,0.9125502,33.19513,-8.627797,-45.94812,986.0922
0.395848274,-0.07620262,-0.08520645,-0.04550847,-0.3917395,0.04087453,0.9094473,33.19513,-8.627797,-45.94812,986.0922
0.400765419,0.04742878,-0.02593853,0.1373316,-0.3907781,0.04718354,0.9115839,33.19513,-8.627797,-45.94812,986.0922
0.408141613,-0.07610234,0.09251469,0.07632244,-0.3942229,0.04430061,0.9076354,33.19513,-8.627797,-45.94812,986.0922
0.413058758,0.109311,-0.08522385,-0.04558067,-0.3902704,0.04136616,0.9099366,33.19513,-8.627797,-45.94812,986.0922
0.417975903,-0.01434117,-0.08517028,0.1372211,-0.3917619,0.042364,0.9080387,33.56899,-8.630966,-45.94731,986.0889
0.422893047,-0.01431275,-0.02590236,-0.04563827,-0.3913455,0.04781164,0.9038401,33.56899,-8.630966,-45.94731,986.0889
0.427811146,-0.01430379,-0.02588609,-0.04564787,-0.3897353,0.03983578,0.9137673,33.56899,-8.630966,-45.94731,986.0889
0.432728291,0.2328917,0.03330735,0.07619763,-0.3913055,0.04484178,0.9061722,33.56899,-8.630966,-45.94731,986.0889
0.437645912,0.1091618,0.2702372,0.07620717,-0.3913043,0.0462859,0.9071897,33.56899,-8.630966,-45.94731,986.0889
0.442563057,0.1708947,0.03313534,0.1370964,-0.3927052,0.04614566,0.9139941,33.56899,-8.630966,-45.94731,986.0889
0.447480202,0.1708068,0.03318902,0.07609235,-0.3931911,0.03890251,0.9098816,33.56899,-8.630966,-45.94731,986.0889
0.452397823,0.3560651,0.1516342,0.1369625,-0.390807,0.04482807,0.9071388,33.56899,-8.630966,-45.94731,986.0889
0.457314968,0.170437,-0.02616015,0.07595848,-0.390744,0.04277865,0.9124134,33.56899,-8.630966,-45.94731,986.0895
0.462232113,0.04672702,0.0330707,0.1977659,-0.389789,0.04524272,0.9115136,33.56899,-8.630966,-45.94731,986.0895
0.467150211,0.2320632,0.09226426,0.0149451,-0.3888518,0.04002602,0.9040556,33.56899,-8.630966,-45.94731,986.0895
0.474525929,0.1701013,0.09223317,0.01491185,-0.3918062,0.04775281,0.9067552,33.56899,-8.630966,-45.94731,986.0895
