Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.204146385,-0.07746507,-0.04163001,-0.07412416,-0.5439816,0.159777,0.8169166,36.93348,-6.601069,-34.245,992.0819
0.209065437,-0.2627625,-0.2785359,-0.1959136,-0.5300566,0.1849904,0.8054724,36.56242,-6.964545,-34.25704,992.0819
0.216444016,-0.07705231,0.3731038,-0.1347919,-0.5449967,0.1463381,0.8048412,36.56242,-6.964545,-34.25704,992.0819
0.221363545,-0.2005874,0.0175084,-0.07377005,-0.5421975,0.168804,0.8045675,36.56242,-6.964545,-34.25704,992.0819
0.226282597,0.04672501,-0.04167985,0.2308854,-0.540372,0.1854665,0.8012025,36.56242,-6.964545,-34.25704,992.0819
0.231202126,-0.3240743,-0.1009053,-0.195743,-0.5313888,0.1750746,0.8134195,36.56242,-6.964545,-34.25704,992.0819
0.236121178,-0.3856528,-0.04162741,-0.2565572,-0.5371789,0.1618521,0.8135286,36.56242,-6.964545,-34.25704,992.0819
0.241040707,0.2324683,0.1952564,-0.07364205,-0.5460643,0.1522871,0.7992143,36.56242,-6.964545,-34.25704,992.0837
0.245959282,0.1087775,0.01747189,0.2310708,-0.5480783,0.1692565,0.8036592,36.56242,-6.964545,-34.25704,992.0837
0.250878334,-0.01489377,-0.1602195,0.1091279,-0.535786,0.1726158,0.8124056,36.56242,-6.964545,-34.25704,992.0837
0.255800247,0.04687824,-0.04169002,-0.07373293,-0.5324222,0.173243,0.8065717,36.56242,-6.964545,-34.25704,992.0837
0.260716915,-0.01495267,0.07676502,-0.1346812,-0.5367662,0.1629674,0.8062779,36.24807,-6.595259,-34.24648,992.0837
0.265636444,0.1086014,0.01748376,0.0481957,-0.540758,0.167906,0.8011281,36.24807,-6.595259,-34.24648,992.0837
0.270555496,-0.01501151,0.01747268,-0.07365143,-0.5397288,0.1721565,0.8090246,36.24807,-6.595259,-34.24648,992.0837
